# Cities: name, latitude, longitude
Guatemala, 14.63, -90.55
Maceio, -9.65, -35.75
Nova Iguacu, -22.74, -43.47
Kunming, 25.05, 102.7
Taizhong, 24.15, 120.68
Maiduguri, 11.85, 13.16
Datong, 40.08, 113.3
Dublin, 53.33, -6.25
Jabalpur, 23.17, 79.94
Visakhapatnam, 17.73, 83.3
Rostov-na-Donu, 47.24, 39.71
Dnipropetrovs'k, 48.45, 34.98
Shubra-El-Khema, 30.11, 31.25
Srinagar, 34.09, 74.79
Benxi, 41.33, 123.75
Brussels, 50.83, 4.33
al-Madinah, 24.48, 39.59
Adelaide, -34.93, 138.6
Zapopan, 20.72, -103.4
Chelyabinsk, 55.15, 61.43
Haora, 22.58, 88.33
Calgary, 51.05, -114.06
Sendai, 38.26, 140.89
Tegucigalpa, 14.09, -87.22
Ranchi, 23.36, 85.33
Songnam, 37.44, 127.15
Ilorin, 8.49, 4.55
Fez, 34.05, -5.0
Ufa, 54.78, 56.04
Klang, 3.04, 101.45
Chandigarh, 30.75, 76.78
Ahvaz, 31.28, 48.72
Koyampattur, 11.01, 76.96
Cologne, 50.95, 6.97
Qom, 34.65, 50.95
Odesa, 46.47, 30.73
Donetsk, 48.0, 37.82
Jodhpur, 26.29, 73.02
Sao Luis, -2.5, -44.3
Sao Goncalo, -22.84, -43.07
Kitakyushu, 33.88, 130.86
Huaibei, 33.95, 116.75
Perm, 58.0, 56.25
Changzhou, 31.78, 119.97
Maisuru, 12.31, 76.65
Guwahati, 26.19, 91.75
Volgograd, 48.71, 44.48
Konya, 37.88, 32.48
Naples, 40.85, 14.27
Vijayawada, 16.52, 80.63
Ulsan, 35.55, 129.31
San Jose, 37.3, -121.85
Birmingham, 52.48, -1.91
Chiba, 35.61, 140.11
Ciudad Guayana, 8.37, -62.62
Kolwezi, -10.7, 25.66
Padang, -0.95, 100.35
Managua, 12.15, -86.27
Mendoza, -32.89, -68.83
Gwalior, 26.23, 78.17
Biskek, 42.87, 74.57
Kathmandu, 27.71, 85.31
El Alto, -16.5, -68.17
Niamey, 13.52, 2.12
Kigali, -1.94, 30.06
Qiqihar, 47.35, 124.0
Ulaanbaatar, 47.93, 106.91
Krasnoyarsk, 56.02, 93.06
Madurai, 9.92, 78.12
Edmonton, 53.57, -113.54
Asgabat, 37.95, 58.38
al-Hartum Bahri, 15.64, 32.52
Arequipa, -16.39, -71.53
Marrakesh, 31.63, -8.0
Bandar Lampung, -5.44, 105.27
Pingdingshan, 33.73, 113.3
Cartagena, 10.4, -75.5
Hubli, 15.36, 75.13
La Paz, -16.5, -68.15
Wenzhou, 28.02, 120.65
Ottawa, 45.42, -75.71
Johor Bahru, 1.48, 103.75
Mombasa, -4.04, 39.66
Lilongwe, -13.97, 33.8
Turin, 45.08, 7.68
Duque de Caxias, -22.77, -43.31
Abu Dhabi, 24.48, 54.37
Jalandhar, 31.33, 75.57
Warri, 5.52, 5.76
Valencia (Spain), 39.48, -0.39
Oslo, 59.91, 10.75
Taian, 36.2, 117.12
ad-Dammam, 26.43, 50.1
Mira Bhayandar, 19.29, 72.85
Salem, 11.67, 78.16
Pietermaritzburg, -29.61, 30.39
Naucalpan, 19.48, -99.23
Hims, 34.73, 36.72
Bhubaneswar, 20.27, 85.84
Hamamatsu, 34.72, 137.73
Saratov, 51.57, 46.03
Detroit, 42.38, -83.1
Kirkuk, 35.47, 44.39
Sakai, 34.57, 135.48
Onitsha, 6.14, 6.78
Quetta, 30.21, 67.02
Aligarh, 27.89, 78.06
Voronezh, 51.72, 39.26
Freetown, 8.49, -13.24
Tucuman, -26.83, -65.22
Bogor, -6.58, 106.79
Niigata, 37.92, 139.04
Thiruvananthapuram, 8.51, 76.95
Jacksonville, 30.33, -81.66
Bareli, 28.36, 79.41
Cebu, 10.32, 123.9
Kota, 25.18, 75.83
Natal, -5.8, -35.22
Shihung, 37.46, 126.89
Puchon, 37.48, 126.77
Tiruchchirappalli, 10.81, 78.69
Trujillo, -8.11, -79.03
Sharjah, 25.37, 55.41
Kermanshah, 34.38, 47.06
Qinhuangdao, 39.93, 119.62
Anyang (China), 36.08, 114.35
Bhiwandi, 19.3, 73.05
an-Najaf, 32.0, 44.34
Sao Bernardo do Campo, -23.71, -46.54
Teresina, -5.1, -42.8
Nanning, 22.82, 108.32
Antalya, 36.89, 30.71
Campo Grande, -20.45, -54.63
Indianapolis, 39.78, -86.15
Jaboatao, -8.11, -35.02
Zaporizhzhya, 47.85, 35.17
Hohhot, 40.82, 111.64
Marseille, 43.31, 5.37
Moradabad, 28.84, 78.76
Zhangjiakou, 40.83, 114.93
Liuzhou, 24.28, 109.25
Nouakchott, 18.09, -15.98
Rajshahi, 24.37, 88.59
Yantai, 37.53, 121.4
Tainan, 23.0, 120.19
Xining, 36.62, 101.77
Port-au-Prince, 18.54, -72.34
Hegang, 47.4, 130.37
Akure, 7.25, 5.19
N'Djamena, 12.11, 15.05
Guadalupe, 25.68, -100.26
Cracow, 50.06, 19.96
Malang, -7.98, 112.62
Hengyang, 26.89, 112.62
Athens, 37.98, 23.73
Puyang, 35.7, 114.98
San Francisco, 37.77, -122.45
Jerusalem, 31.78, 35.22
Amsterdam, 52.37, 4.89
Lodz, 51.77, 19.46
Merida, 20.97, -89.62
Austin, 30.31, -97.75
Abeokuta, 7.16, 3.35
Xinxiang, 35.32, 113.87
Raipur, 21.24, 81.63
Tunis, 36.84, 10.22
Columbus, 39.99, -82.99
Chihuahua, 28.63, -106.08
L'viv, 49.83, 24.0
Cotonou, 6.36, 2.44
Pekan Baru, 0.56, 101.43
Blantyre, -15.79, 34.99
La Plata, -34.92, -57.96
Bulawayo, -20.17, 28.58
Tangier, 35.79, -5.81
Kayseri, 38.74, 35.48
Tolyatti, 53.48, 49.51
Foshan, 23.03, 113.12
Ningbo, 29.88, 121.55
Langfang, 39.52, 116.68
Ampang Jaya, 3.15, 101.77
Liaoyang, 41.28, 123.18
Riga, 56.97, 24.13
Changzhi, 35.22, 111.75
Kryvyy Rih, 47.92, 33.35
Libreville, 0.39, 9.45
Chonju, 35.83, 127.14
Fort Worth, 32.75, -97.34
as-Sulaymaniyah, 35.56, 45.43
Osasco, -23.53, -46.78
Zamboanga, 6.92, 122.08
Tlalnepantla, 19.54, -99.19
Gorakhpur, 26.76, 83.36
San Luis Potosi, 22.16, -100.98
Sevilla, 37.4, -5.98
Zhuzhou, 27.83, 113.15
Zagreb, 45.8, 15.97
Huangshi, 30.22, 115.1
Puente Alto, -33.61, -70.57
Shaoguan, 24.8, 113.58
Matola, -25.97, 32.46
Guilin, 25.28, 110.28
Aguascalientes, 21.88, -102.3
Shizuoka, 34.98, 138.39
Benghazi, 32.12, 20.07
Fuxin, 42.01, 121.65
Joao Pessoa, -7.12, -34.86
Ipoh, 4.6, 101.07
Contagem, -19.91, -44.1
Dushanbe, 38.57, 68.78
Zhanjiang, 21.2, 110.38
Xingtai, 37.07, 114.49
Okayama, 34.67, 133.92
Yogyakarta, -7.78, 110.37
Bhilai, 21.21, 81.38
Zigong, 29.4, 104.78
Mudanjiang, 44.58, 129.6
Wahran, 35.7, -0.62
Enugu, 6.44, 7.51
Santo Andre, -23.65, -46.53
Colombo, 6.93, 79.85
Chimalhuacan, 19.44, -98.96
Shatian, 22.38, 114.19
Memphis, 35.11, -90.01
Kumamoto, 32.8, 130.71
Sao Jose dos Campos, -23.2, -45.88
Zhangdian, 36.8, 118.06
Acapulco, 16.85, -99.92
Xiangtan, 27.85, 112.9
Quebec, 46.82, -71.23
Dasmarinas, 14.33, 120.93
Zaria, 11.08, 7.71
Nantong, 32.02, 120.82
Charlotte, 35.2, -80.83
Pointe Noire, -4.77, 11.87
Shaoyang, 27.0, 111.2
Queretaro, 20.59, -100.4
Hamilton, 43.26, -79.85
Islamabad, 33.72, 73.06
Panjin, 41.18, 122.05
Saltillo, 25.42, -101.0
Ansan, 37.35, 126.86
Jamshedpur, 22.79, 86.2
Zaragoza, 41.65, -0.89
Cancun, 21.17, -86.83
Dandong, 40.13, 124.4
Frankfurt, 50.12, 8.68
Palermo, 38.12, 13.36
Haikou, 20.05, 110.32
'Adan, 12.79, 45.03
Amravati, 20.95, 77.76
Winnipeg, 49.88, -97.17
Sagamihara, 35.58, 139.38
Zhangzhou, 24.52, 117.67
Gazzah, 31.53, 34.44
Kataka, 20.47, 85.88
El Paso, 31.85, -106.44
Krasnodar, 45.03, 38.98
Kuching, 1.55, 110.34
Wrocaw, 51.11, 17.03
Asmara, 15.33, 38.94
Zhenjiang, 32.22, 119.43
Baltimore, 39.3, -76.61
Benoni, -26.15, 28.33
Mersin, 36.81, 34.63
Izhevsk, 56.85, 53.23
Yancheng, 33.39, 120.12
Hermosillo, 29.07, -110.97
Yuanlong, 22.44, 114.02
Uberlandia, -18.9, -48.28
Ulyanovsk, 54.33, 48.4
Bouake, 7.69, -5.03
Santiago (Dominican Republic), 19.48, -70.69
Mexicali, 32.65, -115.47
Hai Phong, 20.86, 106.68
Anyang (South Korea), 37.39, 126.92
Dadiangas, 6.1, 125.25
Morelia, 19.72, -101.18
Oshogbo, 7.77, 4.56
Chongju, 36.64, 127.5
Jos, 9.93, 8.89
al-'Ayn, 24.23, 55.74
Sorocaba, -23.49, -47.47
Bikaner, 28.03, 73.32
Taizhou, 32.49, 119.9
Antipolo, 14.59, 121.18
Xiamen, 24.45, 118.08
Cochabamba, -17.38, -66.17
Culiacan, 24.8, -107.39
Yingkou, 40.67, 122.28
Kagoshima, 31.59, 130.56
Siping, 43.17, 124.33
Orumiyeh, 37.53, 45.0
Luancheng, 37.88, 114.65
Diyarbakr, 37.92, 40.23
Yaroslavl, 57.62, 39.87
Mixco, 14.64, -90.6
Banjarmasin, -3.33, 114.59
Chisinau, 47.03, 28.83
Djibouti, 11.59, 43.15
Seattle, 47.62, -122.35
Stuttgart, 48.79, 9.19
Khabarovsk, 48.42, 135.12
Rotterdam, 51.93, 4.48
Jinzhou, 41.12, 121.1
Kisangani, 0.53, 25.19
San Pedro Sula, 15.47, -88.03
Bengbu, 32.95, 117.33
Irkutsk, 52.33, 104.24
Shihezi, 44.3, 86.03
Maracay, 10.33, -67.47
Cucuta, 7.88, -72.51
Bhavnagar, 21.79, 72.13
Port Said, 31.26, 32.29
Denver, 39.77, -104.87
Genoa, 44.42, 8.93
Jiangmen, 22.58, 113.08
Dortmund, 51.51, 7.48
Barnaul, 53.36, 83.75
Washington, 38.91, -77.02
Veracruz, 19.19, -96.14
Ribeirao Preto, -21.17, -47.8
Vladivostok, 43.13, 131.9
Mar del Plata, -38.0, -57.58
Boston, 42.34, -71.02
Eskisehir, 39.79, 30.52
Warangal, 18.01, 79.58
Zahedan, 29.5, 60.83
Essen, 51.47, 7.0
Dusseldorf, 51.24, 6.79
Kaifeng, 34.85, 114.35
Kingston, 17.99, -76.8
Glasgow, 55.87, -4.27
Funabashi, 35.7, 139.99
Shah Alam, 3.07, 101.56
Maoming, 21.92, 110.87
Hachioji, 35.66, 139.33
Meknes, 33.9, -5.56
Hamhung, 39.91, 127.54
Villa Nueva, 14.53, -90.59
Sargodha, 32.08, 72.67
Las Vegas, 36.21, -115.22
Resht, 37.3, 49.63
Cangzhou, 38.32, 116.87
Tanggu, 39.0, 117.67
Helsinki, 60.17, 24.94
Malaga, 36.72, -4.42
Milwaukee, 43.06, -87.97
Nashville, 36.17, -86.78
Ife, 7.48, 4.56
Changde, 29.03, 111.68
at-Ta'if, 21.26, 40.38
Surakarta, -7.57, 110.82
Poznan, 52.4, 16.9
Barcelona (Venezuela), 10.13, -64.72
Bloemfontein, -29.15, 26.23
Lopez Mateos, 19.57, -99.26
Bangui, 4.36, 18.56
Reynosa, 26.08, -98.28
Xigong, 22.33, 114.25
Cuiaba, -15.61, -56.09
Shiliguri, 26.73, 88.42
Oklahoma City, 35.47, -97.51
Louisville, 38.22, -85.74
Jiamusi, 46.83, 130.35
Huaiyin, 33.58, 119.03
Welkom, -27.97, 26.73
Kolhapur, 16.7, 74.22
Ulhasnagar, 19.23, 73.15
Rajpur, 22.44, 88.44
Bremen, 53.08, 8.81
San Salvador, 13.69, -89.19
Maanshan, 31.73, 118.48
Tembisa, -25.99, 28.22
Banqiao, 25.02, 121.44
Toluca, 19.29, -99.67
Portland, 45.54, -122.66
Gold Coast, -28.07, 153.44
Kota Kinabalu, 5.97, 116.07
Vilnius, 54.7, 25.27
Agadir, 30.42, -9.61
Ajmer, 26.45, 74.64
Orenburg, 51.78, 55.1
Neijiang, 29.58, 105.05
Salta, -24.79, -65.41
Guntur, 16.31, 80.44
Novokuznetsk, 53.75, 87.1
Yangzhou, 32.4, 119.43
Durgapur, 23.5, 87.31
Shashi, 30.32, 112.23
Asuncion, -25.3, -57.63
Aparecida de Goiania, -16.82, -49.24
Ribeirao das Neves, -19.76, -44.08
Petaling Jaya, 3.1, 101.62
Sangli-Miraj, 16.86, 74.57
Dehra Dun, 30.34, 78.05
Maturin, 9.75, -63.17
Torreon, 25.55, -103.43
Jiaozuo, 35.25, 113.22
Zhuhai, 22.28, 113.57
Nanded, 19.17, 77.29
Suez, 29.98, 32.54
Tyumen, 57.15, 65.53
Albuquerque, 35.12, -106.62
Cagayan, 8.45, 124.67
Mwanza, -2.52, 32.89
Petare, 10.52, -66.83
Soledad, 10.92, -74.77
Uijongbu, 37.74, 127.04
Yueyang, 29.38, 113.1
Feira de Santana, -12.25, -38.97
Ta'izz, 13.6, 44.04
Tucson, 32.2, -110.89
Naberezhnyye Chelny, 55.69, 52.32
Kerman, 30.3, 57.08
Matsuyama, 33.84, 132.77
Garoua, 9.3, 13.39
Tlaquepaque, 20.64, -103.32
Tuxtla Gutierrez, 16.75, -93.12
Jamnagar, 22.47, 70.07
Jammu, 32.71, 74.85
Gulbarga, 17.34, 76.82
Chiclayo, -6.76, -79.84
Hanover, 52.4, 9.73
Bucaramanga, 7.13, -73.13
Bahawalpur, 29.39, 71.67
Goteborg, 57.72, 12.01
Zhunmen, 22.41, 113.98
Bhatpara, 22.89, 88.42
Ryazan, 54.62, 39.74
Calamba, 14.21, 121.15
Changwon, 35.27, 128.62
Aracaju, -10.91, -37.07
Zunyi, 27.7, 106.92
Lipetsk, 52.62, 39.62
Dresden, 51.05, 13.74
Saharanpur, 29.97, 77.54
Hamah, 35.15, 36.73
Niyala, 12.06, 24.89
San Nicolas de los Garza, 25.75, -100.3
Higashiosaka, 34.67, 135.59
al-Hillah, 32.48, 44.43
Leipzig, 51.35, 12.4
Xuchang, 34.02, 113.82
Wuhu, 31.35, 118.37
Boma, -5.85, 13.05
Kananga, -5.89, 22.4
Mykolayiv, 46.97, 32.0
Atlanta, 33.76, -84.42
Londrina, -23.3, -51.18
Tabuk, 28.39, 36.57
Cuautitlan Izcalli, 19.65, -99.25
Nuremberg, 49.45, 11.05
Santa Fe, -31.6, -60.69
Joinville, -26.32, -48.84
# Distances: name1, name2, distance
La Crosse, La Crescent, 4.2
La Crosse, Winona, 28.2
La Crosse, Minneapolis, 142.9
La Crosse, Mexico City, 2459.4
La Crosse, New York, 1061.2
La Crosse, Bogota, 4057.2
La Crosse, Toronto, 747.9
La Crosse, Los Angeles, 2139.9
La Crosse, Montreal, 1119.5
La Crosse, Chicago, 264.8
La Crosse, Maracaibo, 3336.0
La Crosse, Santo Domingo, 2629.0
La Crosse, Medellin, 4037.1
La Crosse, Guayaquil, 4399.6
La Crosse, Houston, 1337.3
La Crosse, Cali, 4307.3
La Crosse, Havanna, 1997.8
La Crosse, Vancouver, 1948.0
La Crosse, Caracas, 3693.6
La Crosse, Ecatepec, 2079.8
La Crosse, Valencia (Venezuela), 3574.8
La Crosse, Guadalajara, 2274.1
La Crosse, Phoenix, 1512.5
La Crosse, Quito, 4783.9
La Crosse, Juarez, 1453.6
La Crosse, Tijuana, 2194.4
La Crosse, Puebla, 2265.6
La Crosse, Philadelphia, 1059.7
La Crosse, San Antonio, 1283.1
La Crosse, Dallas, 1023.4
La Crosse, San Diego, 2228.0
La Crosse, Nezahualcoyotl, 2060.2
La Crosse, Leon, 2023.6
La Crosse, Barranquilla, 3556.6
La Crosse, Monterrey, 1600.2
La Crosse, Barquisimeto, 3783.7
La Crosse, Guatemala, 2818.9
La Crosse, Zapopan, 2370.7
La Crosse, Calgary, 1587.8
La Crosse, Tegucigalpa, 2606.7
La Crosse, San Jose, 2130.0
La Crosse, Ciudad Guayana, 4012.3
La Crosse, Managua, 3118.0
La Crosse, Edmonton, 1454.4
La Crosse, Cartagena, 3570.7
La Crosse, Ottawa, 880.3
La Crosse, Naucalpan, 2288.3
La Crosse, Detroit, 476.9
La Crosse, Jacksonville, 1396.2
La Crosse, Indianapolis, 453.3
La Crosse, Port-au-Prince, 2971.0
La Crosse, Guadalupe, 1815.9
La Crosse, San Francisco, 1969.7
La Crosse, Merida, 1972.6
La Crosse, Austin, 1206.3
La Crosse, Columbus, 541.4
La Crosse, Chihuahua, 1623.1
La Crosse, Fort Worth, 920.1
La Crosse, Tlalnepantla, 2346.6
La Crosse, San Luis Potosi, 1882.8
La Crosse, Aguascalientes, 2198.1
La Crosse, Chimalhuacan, 2046.1
La Crosse, Memphis, 696.9
La Crosse, Acapulco, 2434.9
La Crosse, Quebec, 1157.4
La Crosse, Charlotte, 946.5
La Crosse, Queretaro, 2358.4
La Crosse, Hamilton, 720.6
La Crosse, Saltillo, 1836.8
La Crosse, Cancun, 1974.0
La Crosse, Winnipeg, 566.4
La Crosse, El Paso, 1524.1
La Crosse, Baltimore, 1079.6
La Crosse, Hermosillo, 1787.3
La Crosse, Santiago (Dominican Republic), 2637.3
La Crosse, Mexicali, 2066.1
La Crosse, Morelia, 2469.1
La Crosse, Culiacan, 2197.1
La Crosse, Mixco, 2796.9
La Crosse, Seattle, 1927.0
La Crosse, San Pedro Sula, 2453.7
La Crosse, Maracay, 3660.3
La Crosse, Cucuta, 3961.3
La Crosse, Denver, 908.5
La Crosse, Washington, 1023.9
La Crosse, Veracruz, 2349.1
La Crosse, Boston, 1350.7
La Crosse, Kingston, 2506.2
La Crosse, Villa Nueva, 2542.1
La Crosse, Las Vegas, 1688.5
La Crosse, Milwaukee, 195.6
La Crosse, Nashville, 748.8
